Code,Disease,ToMerge
E1008,Pwr seat combo pwr shear,
E1008,90 Pwr seat combo pwr shear,
E1008,90 Pwr seat combo pwr shear,
E1008,90 Pwr seat combo pwr shear,
E1009,Add mech leg elevation,
E1009,90 Add mech leg elevation,
E1009,90 Add mech leg elevation,
E1009,90 Add mech leg elevation,
E1010,Add pwr leg elevation,
E1010,90 Add pwr leg elevation,
E1010,90 Add pwr leg elevation,
E1010,90 Add pwr leg elevation,
E1015,Shock absorber for man w/c,
E1015,90 Shock absorber for man w/,
E1015,90 Shock absorber for man w/,
E1015,90 Shock absorber for man w/,
E1016,Shock absorber for power w/c,
E1016,90 Shock absorber for power,
E1016,90 Shock absorber for power,
E1016,90 Shock absorber for power,
E1017,HD shck absrbr for hd man wc,
E1017,90 HD shck absrbr for hd man,
E1017,90 HD shck absrbr for hd man,
E1017,90 HD shck absrbr for hd man,c
E1018,HD shck absrber for hd powwc,c
E1018,90 HD shck absrber for hd po,c
E1018,90 HD shck absrber for hd po,
E1018,90 HD shck absrber for hd po,w/c
E1020,Residual limb support system,w/c
E1020,90 Residual limb support sys,w/c
E1020,90 Residual limb support sys,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",wc
FEE SC,LE MODIFIER LEVEL TABLES,wc
Effect,"Date: August 30, 2019",wc
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,wwc
E1020,90 Residual limb support sys,wwc
E1028,W/c manual swingaway,wwc
E1028,90 W/c manual swingaway,
E1028,90 W/c manual swingaway,tem
E1028,90 W/c manual swingaway,tem
E1029,W/c vent tray fixed,RKERS' COMPENSATION PROGRAMS
E1029,90 W/c vent tray fixed,
E1029,90 W/c vent tray fixed,
E1029,90 W/c vent tray fixed,
E1030,W/c vent tray gimbaled,
E1030,90 W/c vent tray gimbaled,tem
E1030,90 W/c vent tray gimbaled,
E1030,90 W/c vent tray gimbaled,
E1031,Rollabout chair with casters,
E1031,90 Rollabout chair with cast,
E1031,90 Rollabout chair with cast,
E1031,90 Rollabout chair with cast,
E1035,Patient transfer system,
E1035,90 Patient transfer system,
E1035,90 Patient transfer system,
E1035,90 Patient transfer system,
E1036,"Patient transfer system, >30",
E1036,"90 Patient transfer system,",
E1038,"Transport chair, adult size",
E1038,"90 Transport chair, adult si",ers
E1038,"90 Transport chair, adult si",ers
E1038,"90 Transport chair, adult si",ers
E1039,Transport chair pt wt>=250lb,
E1039,90 Transport chair pt wt>=25,
E1039,90 Transport chair pt wt>=25,
E1039,90 Transport chair pt wt>=25,
E1050,Whelchr fxd full length arms,0lb
E1050,90 Whelchr fxd full length a,>300lb
E1050,90 Whelchr fxd full length a,
E1050,90 Whelchr fxd full length a,ze
E1060,Wheelchair detachable arms,ze
E1060,90 Wheelchair detachable arm,ze
E1060,90 Wheelchair detachable arm,
E1060,90 Wheelchair detachable arm,0lb
E1070,Wheelchair detachable foot r,0lb
E1070,90 Wheelchair detachable foo,0lb
E1070,90 Wheelchair detachable foo,
E1070,90 Wheelchair detachable foo,rms
E1083,Hemi-wheelchair fixed arms,rms
E1083,90 Hemi-wheelchair fixed arm,rms
E1083,90 Hemi-wheelchair fixed arm,
E1083,90 Hemi-wheelchair fixed arm,s
E1084,Hemi-wheelchair detachable a,s
E1084,90 Hemi-wheelchair detachabl,s
E1084,90 Hemi-wheelchair detachabl,
E1084,90 Hemi-wheelchair detachabl,t r
E1085,Hemi-wheelchair fixed arms,t r
E1085,90 Hemi-wheelchair fixed arm,t r
E1085,90 Hemi-wheelchair fixed arm,
E1085,90 Hemi-wheelchair fixed arm,s
E1086,Hemi-wheelchair detachable a,s
E1086,90 Hemi-wheelchair detachabl,s
E1086,90 Hemi-wheelchair detachabl,
E1086,90 Hemi-wheelchair detachabl,e a
E1087,Wheelchair lightwt fixed arm,e a
E1087,90 Wheelchair lightwt fixed,e a
E1087,90 Wheelchair lightwt fixed,
E1087,90 Wheelchair lightwt fixed,e a
E1088,Wheelchair lightweight det a,e a
E1088,90 Wheelchair lightweight de,
E1088,90 Wheelchair lightweight de,arm
E1088,90 Wheelchair lightweight de,arm
E1089,Wheelchair lightwt fixed arm,RKERS' COMPENSATION PROGRAMS
E1089,90 Wheelchair lightwt fixed,
E1089,90 Wheelchair lightwt fixed,
E1089,90 Wheelchair lightwt fixed,
E1090,Wheelchair lightweight det a,
E1090,90 Wheelchair lightweight de,arm
E1090,90 Wheelchair lightweight de,
E1090,90 Wheelchair lightweight de,t a
E1092,Wheelchair wide w/ leg rests,t a
E1092,90 Wheelchair wide w/ leg re,t a
E1092,90 Wheelchair wide w/ leg re,
E1092,90 Wheelchair wide w/ leg re,arm
E1093,Wheelchair wide w/ foot rest,arm
E1093,90 Wheelchair wide w/ foot r,arm
E1093,90 Wheelchair wide w/ foot r,
E1093,90 Wheelchair wide w/ foot r,t a
E1100,Whchr s-recl fxd arm leg res,t a
E1100,90 Whchr s-recl fxd arm leg,t a
E1100,90 Whchr s-recl fxd arm leg,
E1100,90 Whchr s-recl fxd arm leg,sts
E1110,Wheelchair semi-recl detach,sts
E1110,90 Wheelchair semi-recl deta,sts
E1110,90 Wheelchair semi-recl deta,
E1110,90 Wheelchair semi-recl deta,est
E1130,Whlchr std. fxd arm ft rest,est
E1130,90 Whlchr std. fxd arm ft re,est
E1130,90 Whlchr std. fxd arm ft re,
E1130,90 Whlchr std. fxd arm ft re,res
E1140,Wheelchair standard detach a,res
E1140,90 Wheelchair standard detac,res
E1140,90 Wheelchair standard detac,
E1140,90 Wheelchair standard detac,ch
E1150,Wheelchair standard w/ leg r,ch
E1150,90 Wheelchair standard w/ le,ch
E1150,90 Wheelchair standard w/ le,
E1150,90 Wheelchair standard w/ le,st
E1160,Wheelchair fixed arms,st
E1160,90 Wheelchair fixed arms,st
E1160,90 Wheelchair fixed arms,
E1160,90 Wheelchair fixed arms,h a
E1161,Manual adult wc w tiltinspac,h a
E1161,90 Manual adult wc w tiltins,h a
E1161,90 Manual adult wc w tiltins,
E1161,90 Manual adult wc w tiltins,g r
E1170,Whlchr ampu fxd arm leg rest,g r
E1170,90 Whlchr ampu fxd arm leg r,g r
E1170,90 Whlchr ampu fxd arm leg r,
E1170,90 Whlchr ampu fxd arm leg r,
E1171,Wheelchair amputee w/o leg r,
E1171,90 Wheelchair amputee w/o le,
E1171,90 Wheelchair amputee w/o le,
E1171,90 Wheelchair amputee w/o le,pac
E1172,Wheelchair amputee detach ar,pac
E1172,90 Wheelchair amputee detach,pac
E1172,90 Wheelchair amputee detach,
E1172,90 Wheelchair amputee detach,est
E1180,Wheelchair amputee w/ foot r,est
E1180,90 Wheelchair amputee w/ foo,
E1180,90 Wheelchair amputee w/ foo,ar
E1180,90 Wheelchair amputee w/ foo,ar
E1190,Wheelchair amputee w/ leg re,ar
E1190,90 Wheelchair amputee w/ leg,
E1190,90 Wheelchair amputee w/ leg,RKERS' COMPENSATION PROGRAMS
E1190,90 Wheelchair amputee w/ leg,
E1195,Wheelchair amputee heavy dut,
E1195,90 Wheelchair amputee heavy,
E1195,90 Wheelchair amputee heavy,
E1195,90 Wheelchair amputee heavy,t r
E1200,Wheelchair amputee fixed arm,t r
E1200,90 Wheelchair amputee fixed,t r
E1200,90 Wheelchair amputee fixed,
E1200,90 Wheelchair amputee fixed,re
E1220,Wheelchair; specially sized/,re
E1221,Wheelchair spec size w foot,re
E1221,90 Wheelchair spec size w fo,
E1221,90 Wheelchair spec size w fo,dut
E1221,90 Wheelchair spec size w fo,dut
E1222,Wheelchair spec size w/ leg,dut
E1222,90 Wheelchair spec size w/ l,
E1222,90 Wheelchair spec size w/ l,arm
E1222,90 Wheelchair spec size w/ l,arm
E1223,Wheelchair spec size w foot,arm
E1223,90 Wheelchair spec size w fo,constr
E1223,90 Wheelchair spec size w fo,
E1223,90 Wheelchair spec size w fo,ot
E1224,Wheelchair spec size w/ leg,ot
E1224,90 Wheelchair spec size w/ l,ot
E1224,90 Wheelchair spec size w/ l,
E1224,90 Wheelchair spec size w/ l,eg
E1225,Wheelchair spec sz semi-recl,eg
E1225,90 Wheelchair spec sz semi-r,eg
E1225,90 Wheelchair spec sz semi-r,
E1225,90 Wheelchair spec sz semi-r,ot
E1226,Wheelchair spec sz full-recl,ot
E1226,90 W/C access fully reclineb,ot
E1226,90 W/C access fully reclineb,
E1226,90 W/C access fully reclineb,eg
E1227,Wheelchair spec sz spec ht a,eg
E1227,90 Wheelchair spec sz spec h,eg
E1227,90 Wheelchair spec sz spec h,
E1227,90 Wheelchair spec sz spec h,ecl
E1228,Wheelchair spec sz spec ht b,ecl
E1228,90 Wheelchair spec sz spec h,ecl
E1228,90 Wheelchair spec sz spec h,
E1228,90 Wheelchair spec sz spec h,ack
E1230,Power operated vehicle,ack
E1230,90 Power operated vehicle,ack
E1230,90 Power operated vehicle,
E1230,90 Power operated vehicle,t a
E1240,Whchr litwt det arm leg rest,t a
E1240,90 Whchr litwt det arm leg r,t a
E1240,90 Whchr litwt det arm leg r,
E1240,90 Whchr litwt det arm leg r,t b
E1250,Wheelchair lightwt fixed arm,t b
E1250,90 Wheelchair lightwt fixed,t b
E1250,90 Wheelchair lightwt fixed,
E1250,90 Wheelchair lightwt fixed,
E1260,Wheelchair lightwt foot rest,
E1260,90 Wheelchair lightwt foot r,
E1260,90 Wheelchair lightwt foot r,arm
E1260,90 Wheelchair lightwt foot r,arm
E1270,Wheelchair lightweight leg r,arm
E1270,90 Wheelchair lightweight le,
E1270,90 Wheelchair lightweight le,est
E1270,90 Wheelchair lightweight le,RKERS' COMPENSATION PROGRAMS
E1280,Whchr h-duty det arm leg res,
E1280,90 Whchr h-duty det arm leg,
E1280,90 Whchr h-duty det arm leg,
E1280,90 Whchr h-duty det arm leg,
E1285,Wheelchair heavy duty fixed,est
E1285,90 Wheelchair heavy duty fix,est
E1285,90 Wheelchair heavy duty fix,
E1285,90 Wheelchair heavy duty fix,g r
E1290,Wheelchair hvy duty detach a,g r
E1290,90 Wheelchair hvy duty detac,g r
E1290,90 Wheelchair hvy duty detac,
E1290,90 Wheelchair hvy duty detac,res
E1295,Wheelchair heavy duty fixed,res
E1295,90 Wheelchair heavy duty fix,res
E1295,90 Wheelchair heavy duty fix,
E1295,90 Wheelchair heavy duty fix,ed
E1296,Wheelchair special seat heig,ed
E1296,90 Wheelchair special seat h,ed
E1296,90 Wheelchair special seat h,
E1296,90 Wheelchair special seat h,h a
E1297,Wheelchair special seat dept,h a
E1297,90 Wheelchair special seat d,h a
E1297,90 Wheelchair special seat d,
E1297,90 Wheelchair special seat d,ed
E1298,Wheelchair spec seat depth/w,ed
E1298,90 Wheelchair spec seat dept,ed
E1298,90 Wheelchair spec seat dept,
E1298,90 Wheelchair spec seat dept,eig
E1300,"Whirlpool, portable (overtub",eig
E1300,"90 Whirlpool, portable (over",eig
E1300,"90 Whirlpool, portable (over",
E1310,Whirlpool non-portable,ept
E1310,90 Whirlpool non-portable,ept
E1310,90 Whirlpool non-portable,ept
E1310,90 Whirlpool non-portable,
E1352,O2 flow reg pos inspir press,h/w
E1353,Regulator,h/w
E1353,90 Regulator,h/w
E1354,"Wheeled cart, port cyl/conc",)
E1355,Stand/rack,tub)
E1355,90 Stand/rack,tub)
E1356,"Batt pack/cart, port conc",
E1357,"Battery charger, port conc",
E1358,"DC power adapter, port conc",
E1372,Oxy suppl heater for nebuliz,
E1372,90 Oxy suppl heater for nebu,
E1372,90 Oxy suppl heater for nebu,
E1372,90 Oxy suppl heater for nebu,
E1390,Oxygen concentrator,
E1390,90 Oxygen concentrator,
E1390,90 Oxygen concentrator,
E1390,90 Oxygen concentrator,
E1391,Oxygen concentrator,
E1391,90 Oxygen concentrator,
E1391,90 Oxygen concentrator,
E1391,90 Oxygen concentrator,liz
E1392,Portable oxygen concentrator,
E1392,90 Portable oxygen concentra,
E1399,Durable medical equip. misc,
E1405,O2/water vapor enrich w/heat,
E1405,90 O2/water vapor enrich w/h,
E1405,90 O2/water vapor enrich w/h,RKERS' COMPENSATION PROGRAMS
E1405,90 O2/water vapor enrich w/h,
E1406,O2/water vapor enrich w/o he,
E1406,90 O2/water vapor enrich w/o,
E1406,90 O2/water vapor enrich w/o,
E1406,90 O2/water vapor enrich w/o,
E1500,"Centrifuge, for dialysis",tor
E1510,Kidney dialysate del sys kid,
E1510,90 Kidney dialysate del sys,
E1520,Heparin infus pump-dialysis,eat
E1530,Air bubble detector for dial,eat
E1540,Pressure alarm for dialysis,eat
E1550,Bath conductivity meter for,
E1560,Blood leak detector for dial,he
E1570,Adjust chair for ESRD patien,he
E1575,Transducer protector/fluid b,he
E1580,Unipuncture control sys for,
E1590,Hemodialysis machine,ney machine
E1592,Automatic intermittent perio,kidney machine
E1594,Cycler dialysis mach for per,
E1600,Deliv &/or installa chgs-ren,ysis
E1610,Reverse osmosis H20 purifica,
E1610,90 Reverse osmosis H20 purif,dialysis
E1615,Deionizer water purification,ysis
E1620,Blood pump for dialysis,ts
E1625,Water softening system,arrier any siz
E1630,Reciprocating peritoneal dia,dialysis
E1632,Wearable artifical kidney,
E1634,"Peritoneal dialysis clamp, e",tneal dialysis
E1634,90 Peritoneal dialysis clamp,itoneal dialys
E1635,Compact travel hemodialyzer,al dialysis eq
E1636,"Sorbent cartridges, per case",tion sys
E1637,"Hemostats for dialysis, each",ication sys
E1639,"Scale, for dialysis, each",sys
E1699,"Dialysis equip, unspecified",
E1700,Jaw motion rehab system,
E1700,90 Jaw motion rehab system,lysis sys
E1700,90 Jaw motion rehab system,
E1700,90 Jaw motion rehab system,ach
E1701,Repl cushions for jaw motion,", each"
E1702,Repl measr scales jaw motion,sys
E1800,Adjust elbow ext/flex device,
E1800,90 Adjust elbow ext/flex dev,
E1800,90 Adjust elbow ext/flex dev,
E1800,90 Adjust elbow ext/flex dev,by rpt
E1801,Bi-direct static prog stretc,
E1801,90 Bi-direct static prog str,
E1801,90 SPS elbow device,
E1801,90 Bi-direct static prog str,
E1802,Adjst forearm pro/sup device,
E1802,90 Adjst forearm pro/sup dev,
E1802,90 Adjst forearm pro/sup dev,
E1802,90 Adjst forearm pro/sup dev,ice
E1805,Adjust wrist ext/flex device,ice
E1805,90 Adjust wrist ext/flex dev,ice
E1805,90 Adjust wrist ext/flex dev,h elbow device
E1805,90 Adjust wrist ext/flex dev,etch elbow device
E1806,Bi-direct static prog stretc,ice
E1806,90 Bi-direct static prog str,
E1806,90 SPS wrist device,ice
E1806,90 Bi-direct static prog str,ice
E1810,Adjust knee ext/flex device,ice
E1810,90 Adjust knee ext/flex devi,RKERS' COMPENSATION PROGRAMS
E1810,90 Adjust knee ext/flex devi,
E1810,90 Adjust knee ext/flex devi,
E1811,Bi-direct static prog stretc,
E1811,90 Bi-direct static prog str,
E1811,90 SPS knee device,h wrist device
E1811,90 Bi-direct static prog str,etch wrist device
E1812,Knee ext/flex w act res ctrl,
E1812,90 Knee ext/flex w act res c,etch wrist device
E1812,90 Knee ext/flex w act res c,
E1812,90 Knee ext/flex w act res c,ce
E1815,Adjust ankle ext/flex device,ce
E1815,90 Adjust ankle ext/flex dev,ce
E1815,90 Adjust ankle ext/flex dev,h knee device
E1815,90 Adjust ankle ext/flex dev,etch knee device
E1816,Bi-direct static prog stretc,
E1816,90 Bi-direct static prog str,etch knee device
E1816,90 SPS ankle device,
E1816,90 Bi-direct static prog str,trl
E1818,Bi-direct static prog stretc,trl
E1818,90 Bi-direct static prog str,trl
E1818,90 SPS forearm device,
E1818,90 Bi-direct static prog str,ice
E1820,Soft interface material,ice
E1820,90 Soft interface material,ice
E1820,90 Soft interface material,h ankle device
E1820,90 Soft interface material,etch ankle device
E1821,"Replacement, soft interface",
E1821,90 Replacement interface SPS,etch ankle device
E1821,90 Replacement interface SPS,h forarm device
E1821,90 Replacement interface SPS,etch forarm device
E1825,Adjust finger ext/flex devc,
E1825,90 Adjust finger ext/flex de,etch forarm device
E1825,90 Adjust finger ext/flex de,
E1825,90 Adjust finger ext/flex de,
E1830,Adjust toe ext/flex device,
E1830,90 Adjust toe ext/flex devic,
E1830,90 Adjust toe ext/flex devic,material
E1830,90 Adjust toe ext/flex devic,D
E1831,Static str toe dev ext/flex,D
E1840,Dynamic adj shouldter flex/a,D
E1840,90 Dynamic adj shouldter fle,
E1840,90 Adj shoulder ext/flex dev,vc
E1840,90 Dynamic adj shouldter fle,vc
E1841,Static str shldr dev rom adj,vc
E1841,90 Static str shldr dev rom,
E1841,90 Static str shldr dev rom,e
E1841,90 Static str shldr dev rom,e
E1902,"Commun board, non-elect",e
E2000,"Gastric suction pump, home m",
E2000,"90 Gastric suction pump, hom",bduct/rot device
E2000,90 Gastric suction pump hme,x/abduct/rot device
E2000,"90 Gastric suction pump, hom",ice
E2100,Blood glucose monitor w/int,x/abduct/rot device
E2100,90 Bld glucose monitor w voi,
E2100,90 Bld glucose monitor w voi,adj
E2100,90 Bld glucose monitor w voi,adj
E2101,Blood glucose monitor w/int,e model
E2101,90 Bld glucose monitor w lan,voice synth
E2101,90 Bld glucose monitor w lan,ce
E2101,90 Bld glucose monitor w lan,ce
E2120,Pulse gen sys tx endolymp fl,ce
E2120,90 Pulse gen sys tx endolymp,RKERS' COMPENSATION PROGRAMS
E2120,90 Pulse gen sys tx endolymp,
E2120,90 Pulse gen sys tx endolymp,
E2201,Man w/ch acc seat w>=20+¦<24,
E2201,90 Man w/ch acc seat w>=20+¦,
E2201,90 Man w/ch acc seat w>=20+¦,lancing
E2201,90 Man w/ch acc seat w>=20+¦,ce
E2202,Seat width 24-27 in,ce
E2202,90 Seat width 24-27 in,ce
E2202,90 Seat width 24-27 in,
E2202,90 Seat width 24-27 in,fl
E2203,Frame depth less than 22 in,fl
E2203,90 Frame depth less than 22,fl
E2203,90 Frame depth less than 22,+¦
E2203,90 Frame depth less than 22,<24+¦
E2204,Frame depth 22 to 25 in,<24+¦
E2204,90 Frame depth 22 to 25 in,<24+¦
E2204,90 Frame depth 22 to 25 in,
E2204,90 Frame depth 22 to 25 in,
E2205,"Manual wc accessory, handrim",
E2205,"90 Manual wc accessory, hand",
E2205,"90 Manual wc accessory, hand",
E2205,"90 Manual wc accessory, hand",in
E2206,Complete wheel lock assembly,in
E2206,90 Complete wheel lock assem,in
E2206,90 Complete wheel lock assem,
E2206,90 Complete wheel lock assem,
E2207,Crutch and cane holder,
E2207,90 Crutch and cane holder,
E2207,90 Crutch and cane holder,
E2207,90 Crutch and cane holder,rim
E2208,Cylinder tank carrier,rim
E2208,90 Cylinder tank carrier,rim
E2208,90 Cylinder tank carrier,
E2208,90 Cylinder tank carrier,bly
E2209,Arm trough each,bly
E2209,90 Arm trough each,bly
E2209,90 Arm trough each,
E2209,90 Arm trough each,
E2210,Wheelchair bearings,
E2210,90 Wheelchair bearings,
E2210,90 Wheelchair bearings,
E2210,90 Wheelchair bearings,
E2211,Pneumatic propulsion tire,
E2211,90 Pneumatic propulsion tire,
E2211,90 Pneumatic propulsion tire,
E2211,90 Pneumatic propulsion tire,
E2212,Pneumatic prop tire tube,
E2212,90 Pneumatic prop tire tube,
E2212,90 Pneumatic prop tire tube,
E2212,90 Pneumatic prop tire tube,
E2213,Pneumatic prop tire insert,
E2213,90 Pneumatic prop tire inser,
E2213,90 Pneumatic prop tire inser,
E2213,90 Pneumatic prop tire inser,
E2214,Pneumatic caster tire each,
E2214,90 Pneumatic caster tire eac,
E2214,90 Pneumatic caster tire eac,t
E2214,90 Pneumatic caster tire eac,t
E2215,Pneumatic caster tire tube,t
E2215,90 Pneumatic caster tire tub,
E2215,90 Pneumatic caster tire tub,h
E2215,90 Pneumatic caster tire tub,RKERS' COMPENSATION PROGRAMS
E2216,Foam filled propulsion tire,
E2216,90 Foam filled propulsion ti,
E2216,90 Foam filled propulsion ti,
E2216,90 Foam filled propulsion ti,
E2217,Foam filled caster tire each,h
E2217,90 Foam filled caster tire e,h
E2217,90 Foam filled caster tire e,
E2217,90 Foam filled caster tire e,e
E2218,Foam propulsion tire each,e
E2218,90 Foam propulsion tire each,e
E2218,90 Foam propulsion tire each,
E2218,90 Foam propulsion tire each,re
E2219,Foam caster tire any size ea,re
E2219,90 Foam caster tire any size,re
E2219,90 Foam caster tire any size,
E2219,90 Foam caster tire any size,ach
E2220,Solid propulsion tire each,ach
E2220,90 Solid propulsion tire eac,ach
E2220,90 Solid propulsion tire eac,
E2220,90 Solid propulsion tire eac,
E2221,Solid caster tire each,
E2221,90 Solid caster tire each,
E2221,90 Solid caster tire each,
E2221,90 Solid caster tire each,ea
E2222,Solid caster integrated whl,ea
E2222,90 Solid caster integrated w,ea
E2222,90 Solid caster integrated w,
E2222,90 Solid caster integrated w,h
E2224,Propulsion whl excludes tire,h
E2224,90 Propulsion whl excludes t,h
E2224,90 Propulsion whl excludes t,
E2224,90 Propulsion whl excludes t,
E2225,Caster wheel excludes tire,
E2225,90 Caster wheel excludes tir,
E2225,90 Caster wheel excludes tir,
E2225,90 Caster wheel excludes tir,hl
E2226,Caster fork replacement only,hl
E2226,90 Caster fork replacement o,hl
E2226,90 Caster fork replacement o,
E2226,90 Caster fork replacement o,ire
E2227,Gear reduction drive wheel,ire
E2227,90 Gear reduction drive whee,ire
E2227,90 Gear reduction drive whee,
E2227,90 Gear reduction drive whee,e
E2228,"Mwc acc, wheelchair brake",e
E2228,"90 Mwc acc, wheelchair brake",e
E2228,"90 Mwc acc, wheelchair brake",
E2228,"90 Mwc acc, wheelchair brake",nly
E2230,Manual standing system,nly
E2231,Solid seat support base,nly
E2231,90 Solid seat support base,
E2231,90 Solid seat support base,l
E2231,90 Solid seat support base,l
E2300,Pwr seat elevation sys,l
E2300,90 Pwr seat elevation sys,
E2300,90 Pwr seat elevation sys,
E2300,90 Pwr seat elevation sys,
E2301,Pwr standing,
E2301,90 Pwr standing,
E2301,90 Pwr standing,
E2301,90 Pwr standing,
E2310,Electro connect btw control,RKERS' COMPENSATION PROGRAMS
E2310,90 Electro connect btw contr,
E2310,90 Electro connect btw contr,
E2310,90 Electro connect btw contr,
E2311,Electro connect btw 2 sys,
E2311,90 Electro connect btw 2 sys,
E2311,90 Electro connect btw 2 sys,
E2311,90 Electro connect btw 2 sys,
E2312,Mini-prop remote joystick,
E2312,90 Mini-prop remote joystick,
E2312,90 Mini-prop remote joystick,
E2312,90 Mini-prop remote joystick,ol
E2313,"PWC harness, expand control",ol
E2313,"90 PWC harness, expand contr",ol
E2313,"90 PWC harness, expand contr",
E2313,"90 PWC harness, expand contr",
E2321,Hand interface joystick,
E2321,90 Hand interface joystick,
E2321,90 Hand interface joystick,
E2321,90 Hand interface joystick,
E2322,Mult mech switches,
E2322,90 Mult mech switches,
E2322,90 Mult mech switches,
E2322,90 Mult mech switches,ol
E2323,Special joystick handle,ol
E2323,90 Special joystick handle,ol
E2323,90 Special joystick handle,
E2323,90 Special joystick handle,
E2324,Chin cup interface,
E2324,90 Chin cup interface,
E2324,90 Chin cup interface,
E2324,90 Chin cup interface,
E2325,Sip and puff interface,
E2325,90 Sip and puff interface,
E2325,90 Sip and puff interface,
E2325,90 Sip and puff interface,
E2326,Breath tube kit,
E2326,90 Breath tube kit,
E2326,90 Breath tube kit,
E2326,90 Breath tube kit,
E2327,Head control interface mech,
E2327,90 Head control interface me,
E2327,90 Head control interface me,
E2327,90 Head control interface me,
E2328,Head/extremity control inter,
E2328,90 Head/extremity control in,
E2328,90 Head/extremity control in,
E2328,90 Head/extremity control in,
E2329,Head control nonproportional,
E2329,90 Head control nonproportio,
E2329,90 Head control nonproportio,
E2329,90 Head control nonproportio,ch
E2330,Head control proximity switc,ch
E2330,90 Head control proximity sw,ch
E2330,90 Head control proximity sw,
E2330,90 Head control proximity sw,ter
E2331,"Pwr whl chr access, attendan",ter
E2331,"90 Pwr whl chr access, atten",
E2331,"90 Pwr whl chr access, atten",itc
E2331,"90 Pwr whl chr access, atten",itc
E2340,W/c wdth 20-23 in seat frame,itc
E2340,90 W/c wdth 20-23 in seat fr,t control
E2340,90 W/c wdth 20-23 in seat fr,RKERS' COMPENSATION PROGRAMS
E2340,90 W/c wdth 20-23 in seat fr,
E2341,W/c wdth 24-27 in seat frame,
E2341,90 W/c wdth 24-27 in seat fr,
E2341,90 W/c wdth 24-27 in seat fr,
E2341,90 W/c wdth 24-27 in seat fr,dant control
E2342,W/c dpth 20-21 in seat frame,dant control
E2342,90 W/c dpth 20-21 in seat fr,dant control
E2342,90 W/c dpth 20-21 in seat fr,
E2342,90 W/c dpth 20-21 in seat fr,ame
E2343,W/c dpth 22-25 in seat frame,ame
E2343,90 W/c dpth 22-25 in seat fr,ame
E2343,90 W/c dpth 22-25 in seat fr,
E2343,90 W/c dpth 22-25 in seat fr,ame
E2351,Electronic SGD interface,ame
E2351,90 Electronic SGD interface,ame
E2351,90 Electronic SGD interface,
E2351,90 Electronic SGD interface,ame
E2358,Gr 34 nonsealed leadacid,ame
E2359,Gr 34 sealed leadacid batter,ame
E2359,90 Gr 34 sealed leadacid bat,
E2359,90 Gr 34 sealed leadacid bat,ame
E2359,90 Gr 34 sealed leadacid bat,ame
E2360,22nf nonsealed leadacid,ame
E2360,90 22nf nonsealed leadacid,
E2360,90 22nf nonsealed leadacid,
E2360,90 22nf nonsealed leadacid,
E2361,22nf sealed leadacid battery,
E2361,90 22nf sealed leadacid batt,
E2361,90 22nf sealed leadacid batt,y
E2361,90 22nf sealed leadacid batt,tery
E2362,Gr24 nonsealed leadacid,tery
E2362,90 Gr24 nonsealed leadacid,tery
E2362,90 Gr24 nonsealed leadacid,
E2362,90 Gr24 nonsealed leadacid,
E2363,Gr24 sealed leadacid battery,
E2363,90 Gr24 sealed leadacid batt,
E2363,90 Gr24 sealed leadacid batt,
E2363,90 Gr24 sealed leadacid batt,ery
E2364,U1nonsealed leadacid battery,ery
E2364,90 U1nonsealed leadacid batt,ery
E2364,90 U1nonsealed leadacid batt,
E2364,90 U1nonsealed leadacid batt,
E2365,U1 sealed leadacid battery,
E2365,90 U1 sealed leadacid batter,
E2365,90 U1 sealed leadacid batter,
E2365,90 U1 sealed leadacid batter,ery
E2366,Battery charger,ery
E2366,90 Battery charger,ery
E2366,90 Battery charger,
E2366,90 Battery charger,ery
E2367,Battery charger,ery
E2367,90 Battery charger,ery
E2367,90 Battery charger,
E2367,90 Battery charger,y
E2368,Power wc motor replacement,y
E2368,90 Power wc motor replacemen,y
E2368,90 Power wc motor replacemen,
E2368,90 Power wc motor replacemen,
E2369,Pwr wc gear box replacement,
E2369,90 Pwr wc gear box replaceme,
E2369,90 Pwr wc gear box replaceme,t
E2369,90 Pwr wc gear box replaceme,RKERS' COMPENSATION PROGRAMS
E2370,Pwr wc motor/gear box combo,
E2370,90 Pwr wc motor/gear box com,
E2370,90 Pwr wc motor/gear box com,
E2370,90 Pwr wc motor/gear box com,
E2371,Gr27 sealed leadacid battery,t
E2371,90 Gr27 sealed leadacid batt,t
E2371,90 Gr27 sealed leadacid batt,
E2371,90 Gr27 sealed leadacid batt,nt
E2372,Gr27 non-sealed leadacid,nt
E2372,90 Gr27 non-sealed leadacid,nt
E2372,90 Gr27 non-sealed leadacid,
E2372,90 Gr27 non-sealed leadacid,bo
E2373,Hand/chin ctrl spec joystick,bo
E2373,90 Hand/chin ctrl spec joyst,bo
E2373,90 Hand/chin ctrl spec joyst,
E2373,90 Hand/chin ctrl spec joyst,ery
E2374,Hand/chin ctrl std joystick,ery
E2374,90 Hand/chin ctrl std joysti,ery
E2374,90 Hand/chin ctrl std joysti,
E2374,90 Hand/chin ctrl std joysti,
E2375,Non-expandable controller,
E2375,90 Non-expandable controller,
E2375,90 Non-expandable controller,
E2375,90 Non-expandable controller,ick
E2376,"Expandable controller, repl",ick
E2376,"90 Expandable controller, re",ick
E2376,"90 Expandable controller, re",
